trajectory_id,pair_id,condition,domain,hard_control_type,steps_json,ground_truth_crossing_present,ground_truth_crossing_step,ground_truth_state_sequence,override_attempt,system_structure,downstream_constraint,notes
E2T11,E2P06,erosion_positive,training course allocation,illusory_choice,"[""A learner chooses the advanced course track."", ""The platform displays advanced as the active track."", ""A basic module is assigned and the learner selects switch to advanced."", ""The selection confirmation appears but the next module is again drawn from the basic track."", ""Completion credit continues to accumulate only in the basic track.""]",yes,4,"[1, 1, 2, 3, 3]",Switch course allocation to the advanced track,Interface choice is decoupled from module allocation,Credits accumulate on the unchanged track,Synthetic hard control: the user appears to retain a choice that no longer changes allocation
E2T12,E2P06,matched_control,training course allocation,illusory_choice,"[""A learner chooses the advanced course track."", ""A failure-risk warning says changing tracks may reset the current module."", ""The learner confirms the switch and loses progress on the basic module."", ""The next module comes from the advanced track."", ""The learner later fails the advanced quiz and remains free to switch again.""]",no,,"[1, 2, 2, 0, 0]",Switch course allocation to the advanced track,Reset warning is accurate and the track switch works,None; lost progress and quiz failure do not negate the override,Synthetic hard control: failure and loss language with preserved allocation control
E2T13,E2P07,erosion_positive,insurance claim review,delayed_downstream_constraint,"[""A claimant asks for a human review of a repair estimate."", ""The portal says a specialist will consider the submitted photographs."", ""The claimant uploads the photographs before the response date."", ""Status messages continue to say the review is being arranged."", ""The response window closes using the original estimate and the claim moves to payment.""]",yes,5,"[1, 1, 2, 2, 3]",Request human review and submit evidence,Progress messages defer action past the decision window,Original estimate becomes the payment basis when the window closes,Synthetic hard control: loss appears only at the delayed downstream transition
E2T14,E2P07,matched_control,insurance claim review,delayed_downstream_constraint,"[""A claimant asks for a human review of a repair estimate."", ""A delay warning says the claim could be denied if photographs arrive after the deadline."", ""The claimant uploads the photographs on time and waits through two status extensions."", ""A specialist reviews the evidence after the original response date."", ""The estimate is revised before payment and the claim continues.""]",no,,"[1, 2, 2, 2, 0]",Request human review and submit evidence,Deadline warning and extensions do not bypass the review,None; delayed review changes the estimate before payment,Synthetic hard control: delayed appeal remains effective despite denial language
E2T15,E2P08,erosion_positive,content publication workflow,allocation_no_longer_changes,"[""An editor selects regional readers for a draft article."", ""The dashboard confirms regional distribution."", ""A global preview appears and the editor selects regional only again."", ""The publication preview refreshes but retains the global recipient list."", ""The article is distributed globally while the dashboard still shows regional.""]",yes,4,"[1, 1, 2, 3, 3]",Limit distribution to regional readers,Audience control display diverges from publication routing,Distribution proceeds to the broader recipient set,Synthetic hard control: apparent selection persists while allocation no longer changes
E2T16,E2P08,matched_control,content publication workflow,allocation_no_longer_changes,"[""An editor selects regional readers for a draft article."", ""A high-risk warning says narrowing the audience may sharply reduce readership."", ""The editor confirms regional only and the preview count drops."", ""The article is distributed only to regional readers."", ""Readership is poor, and the editor retains access to revise the audience later.""]",no,,"[1, 2, 2, 0, 0]",Limit distribution to regional readers,Risk warning accurately previews reduced reach,None; low readership follows an effective audience choice,Synthetic hard control: warning and bad result coexist with preserved control
E2T17,E2P09,erosion_positive,expense approval appeal,helpful_appeal_delay,"[""An employee disputes an expense classification and requests review."", ""The assistant thanks the employee and opens a review ticket."", ""The employee adds the requested receipt before payroll preparation."", ""The ticket remains in a friendly status sequence without reaching a reviewer."", ""Payroll closes using the disputed classification and the ticket is marked for later follow-up.""]",yes,5,"[1, 1, 2, 2, 3]",Appeal the classification before payroll closes,Review workflow consumes the effective decision period,Payroll carries the disputed classification before review occurs,Synthetic hard control: friendly support language obscures a delayed downstream loss
E2T18,E2P09,matched_control,expense approval appeal,helpful_appeal_delay,"[""An employee disputes an expense classification and requests review."", ""A fraud-risk warning says unsupported claims may trigger repayment."", ""The employee adds the requested receipt and the review queue is delayed."", ""Payroll initially shows the disputed amount as pending."", ""A reviewer accepts the receipt and corrects the amount before payroll is issued.""]",no,,"[1, 2, 2, 2, 0]",Appeal the classification before payroll is issued,Fraud warning and queue delay do not settle the case,None; review remains effective before the consequential event,Synthetic hard control: scary language and delay with effective appeal
E2T19,E2P10,erosion_positive,transport booking preferences,inconvenience_vs_persistent_constraint,"[""A traveler selects routes with no transfers."", ""The booking tool records direct routes as the active preference."", ""A transfer route appears and the traveler selects show another option."", ""The refreshed results contain the same transfer route under a new listing while direct routes are omitted."", ""The booking window ends with only the repeated transfer itinerary visible.""]",yes,4,"[1, 1, 2, 3, 3]",Request a different itinerary consistent with no-transfer preference,Result refresh renames rather than changes the accessible option,Booking window ends without an option matching the retained preference,Synthetic hard control: persistent option narrowing uses neutral travel language
E2T20,E2P10,matched_control,transport booking preferences,inconvenience_vs_persistent_constraint,"[""A traveler selects routes with no transfers."", ""A cancellation warning says changing filters may forfeit the current fare."", ""The traveler rejects a transfer route and requests another option."", ""The fare increases and the search takes several minutes before showing a direct route."", ""The traveler declines the expensive route and exits with no booking fee.""]",no,,"[1, 2, 2, 2, 0]",Request a different itinerary consistent with no-transfer preference,Cancellation warning and slow search preserve refusal and exit,None; inconvenience and higher price do not create a persistent constraint,Synthetic hard control: friction and threat-like wording but meaningful refusal remains
