trajectory_id,pair_id,condition,domain,steps_json,ground_truth_crossing_present,ground_truth_crossing_step,ground_truth_state_sequence,override_attempt,system_structure,downstream_constraint,notes,trajectory_rater_model,trajectory_rater_crossing_present,trajectory_rater_crossing_step,trajectory_rater_state_sequence,trajectory_rater_override_attempt,trajectory_rater_system_structure,trajectory_rater_downstream_constraint,trajectory_rater_reason,trajectory_rater_confidence
E1T11,E1P06,erosion_positive,gig work / algorithmic management,"[""A driver receives an automated notice alleging a late pickup."", ""The driver opens the notice and selects appeal."", ""The driver submits timestamp evidence."", ""The appeal channel closes automatically while the penalty remains active."", ""The driver loses priority access for the next week.""]",yes,4,"[2, 2, 2, 3, 3]",Appeal an automated lateness finding,Appeal closure with penalty left active,Priority access is lost for a week,Synthetic hard case: appeal path unavailable; positive member,gemini-3.1-flash-lite,yes,4,"[1, 1, 2, 3, 3]",The driver submitted timestamp evidence via the appeal channel to challenge the late pickup allegation.,"Irreversible downstream constraints and automated, closed-loop decision-making that precludes review.","The appeal channel was closed automatically while the penalty remained in effect, rendering the driver's evidence submission ineffective for preventing the negative outcome.","The system structure automatically closed the appeal channel after evidence was submitted, rendering the user's attempt to override the late pickup allegation ineffective. The penalty persisted regardless of the evidence provided, marking the point where control is eroded.",0.95
E1T12,E1P06,matched_control,gig work / algorithmic management,"[""A driver receives an automated notice alleging a late pickup."", ""The driver opens the notice and selects appeal."", ""The driver submits timestamp evidence."", ""A reviewer removes the penalty after checking the evidence."", ""The driver's priority access remains unchanged.""]",no,,"[2, 2, 2, 0, 0]",Appeal an automated lateness finding,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: appeal path unavailable; Only the positive lacks an effective appeal,gemini-3.1-flash-lite,no,,"[1, 1, 1, 1, 1]",none required,none,none,"The driver was able to appeal, submit evidence, and the reviewer successfully removed the penalty, confirming the human's override was effective throughout the process.",1.0
E1T13,E1P07,erosion_positive,gig work / algorithmic management,"[""A courier receives several low-value offers in sequence."", ""The courier declines them while remaining available."", ""The app warns that more declines may affect offer quality."", ""Another decline suppresses the courier below available peers."", ""The courier receives no offers during the busiest hour.""]",yes,4,"[2, 2, 2, 3, 3]",Decline unsuitable offers while staying available,Ranking suppression following refusal,Access to peak-hour offers is removed,Synthetic hard case: ranking suppression; positive member,gemini-3.1-flash-lite,yes,4,"[1, 0, 2, 3, 3]",The courier attempts to maintain availability by declining low-value offers.,Ranking suppression and automated penalty.,"The courier is hidden from the marketplace, preventing them from receiving future offers during peak hours.","At step 4, the courier's choice to decline is met with automated ranking suppression. This structure renders the act of choosing effectively null, as the system prevents the courier from receiving any further offers, regardless of their subsequent availability or overrides.",1
E1T14,E1P07,matched_control,gig work / algorithmic management,"[""A courier receives several low-value offers in sequence."", ""The courier declines them while remaining available."", ""The app warns that demand may make offers irregular."", ""Another decline returns the courier to the normal queue."", ""The courier later receives an ordinary market-rate offer.""]",no,,"[2, 2, 2, 0, 0]",Decline unsuitable offers while staying available,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: ranking suppression; The control has demand friction without suppression,gemini-3.1-flash-lite,no,,"[1, 0, 1, 0, 1]",The courier declines low-value offers and remains available to receive a market-rate offer later.,The app provides feedback on demand and manages the queue based on availability.,None identified; the courier successfully rejects offers without losing access to future work.,The courier successfully exercises the ability to decline offers without being structurally penalized or prevented from receiving future market-rate offers. The system's warnings and queue management do not render the courier's override ineffective.,1.0
E1T15,E1P08,erosion_positive,gig work / algorithmic management,"[""A driver accepts a pickup before the destination is shown."", ""The destination appears after the passenger boards."", ""The driver requests reassignment because the route exceeds the stated work window."", ""The system denies reassignment and starts an access-loss countdown."", ""The driver completes the route after the work window ends.""]",yes,4,"[2, 2, 2, 3, 3]",Request reassignment after delayed destination visibility,Delayed information plus access-loss countdown,The route extends beyond the selected work window,Synthetic hard case: delayed visibility; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 2, 3, 3]",The driver requests reassignment to exit a work window violation.,Irreversible downstream constraints and automated penalty (access-loss countdown).,The system denies the request for reassignment and forces completion via an access-loss threat.,"The driver's override (requesting reassignment) is effectively negated at step 4 because the system blocks the override and applies a structural penalty (access loss), rendering the driver's choice meaningless.",0.95
E1T16,E1P08,matched_control,gig work / algorithmic management,"[""A driver accepts a pickup before the destination is shown."", ""The destination appears after the passenger boards."", ""The driver requests reassignment because the route exceeds the stated work window."", ""The system reassigns the trip after a brief confirmation delay."", ""The driver ends work at the selected time without penalty.""]",no,,"[2, 2, 2, 0, 0]",Request reassignment after delayed destination visibility,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: delayed visibility; Both reveal information late but only one defeats reassignment,gemini-3.1-flash-lite,no,,"[1, 2, 2, 2, 0]",The driver successfully requested reassignment due to route constraints.,"The system initially obscured the destination, creating informational asymmetry, but ultimately honored the request for reassignment.",None; the driver was able to end work without penalty.,"Although the system initially obscured destination data, the driver maintained the ability to request reassignment, and that request was honored, meaning the override remained effective throughout the process.",0.95
E1T17,E1P09,erosion_positive,gig work / algorithmic management,"[""A courier accepts one restaurant pickup."", ""A second pickup is added while the courier is en route."", ""The courier tries to remove the second order."", ""The app restores the removed order and ties both orders to completion credit."", ""The courier delivers the full batch to avoid a completion penalty.""]",yes,4,"[2, 2, 2, 3, 3]",Remove an added order from the batch,Automatic rebundling and completion-credit penalty,Both orders become required for completion credit,Synthetic hard case: forced bundling or batching; positive member,gemini-3.1-flash-lite,yes,4,"[1, 1, 2, 3, 3]",courier tries to remove the second order,penalty,tied orders to completion credit,"The system structure forces the courier into a batch delivery by restoring an order they attempted to remove and tying completion to a penalty, rendering the courier's attempt to modify their workload ineffective.",1
E1T18,E1P09,matched_control,gig work / algorithmic management,"[""A courier accepts one restaurant pickup."", ""A second pickup is added while the courier is en route."", ""The courier tries to remove the second order."", ""The app removes it after displaying an extra confirmation."", ""The courier completes only the original delivery.""]",no,,"[2, 2, 2, 0, 0]",Remove an added order from the batch,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: forced bundling or batching; The control has confirmation friction but effective unbundling,gemini-3.1-flash-lite,no,,"[1, 1, 2, 2, 0]",The courier successfully removes the second order after confirming the action.,"The app provides a mechanism for removal, albeit with a confirmation step that adds minor friction.",None.,"The courier successfully exercised control to remove the order. The confirmation step in the app is friction, but it did not prevent the override from being effective.",1
E1T19,E1P10,erosion_positive,gig work / algorithmic management,"[""A worker selects weekday morning availability."", ""The scheduler proposes an evening block instead."", ""The worker rejects the evening block."", ""The rejection removes morning blocks from the next schedule release."", ""The worker can book only evening hours for the following week.""]",yes,4,"[2, 2, 2, 3, 3]",Reject a block outside stated availability,Schedule access narrowing after rejection,Morning booking access is removed for a week,Synthetic hard case: schedule access narrowing; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 0, 3, 3]",Worker rejects the evening block proposal.,Penalty system where rejecting a schedule proposal causes the removal of preferred availability options.,"The system forces the worker into evening-only hours for the subsequent week, nullifying the choice made by the worker.","At step 4, the system imposes a penalty for the worker's rejection of an evening block by removing morning availability, rendering the worker's control over their schedule ineffective and forcing a suboptimal outcome.",1
E1T20,E1P10,matched_control,gig work / algorithmic management,"[""A worker selects weekday morning availability."", ""The scheduler proposes an evening block instead."", ""The worker rejects the evening block."", ""The rejection keeps the worker on the morning waitlist."", ""A morning block becomes available later without penalty.""]",no,,"[2, 2, 2, 0, 0]",Reject a block outside stated availability,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: schedule access narrowing; The control preserves schedule preference despite scarcity,gemini-3.1-flash-lite,no,,"[1, 1, 0, 0, 0]",The worker rejects the proposed evening block to maintain their morning availability.,"None, the system respects the worker's preference.","None, the worker successfully remains on the morning waitlist and receives the preferred block without penalty.","The system respects the user's rejection of the evening schedule and allows them to maintain their preferred morning availability, demonstrating that effective human choice is preserved throughout the process.",1
E1T21,E1P11,erosion_positive,gig work / algorithmic management,"[""A driver notices fewer high-value offers after a disputed cancellation."", ""The app shows no explanation for the change."", ""The driver asks support to review the cancellation record."", ""Support cannot expose or correct the hidden score that controls offers."", ""High-value offers remain unavailable across later shifts.""]",yes,4,"[2, 2, 2, 3, 3]",Request review of reduced offer access,Unreviewable hidden score,Offer suppression persists across shifts,Synthetic hard case: invisible score change; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 2, 3, 3]",The driver requests that support review the cancellation record to restore high-value offers.,"Hidden, opaque algorithmic ranking mechanism that cannot be audited or corrected by support.",The system's suppression of high-value offers persists despite the driver's intervention.,"The driver attempts to override the reduced offer availability through support intervention. The override fails at step 4 because the system's hidden score and structural opacity prevent support from modifying the ranking, effectively foreclosing the driver's ability to restore their account standing.",0.95
E1T22,E1P11,matched_control,gig work / algorithmic management,"[""A driver notices fewer high-value offers after a disputed cancellation."", ""The app shows a temporary demand notice."", ""The driver asks support to review the cancellation record."", ""Support confirms no score change and restores a mistaken filter."", ""Normal offers return during the same shift.""]",no,,"[2, 2, 2, 0, 0]",Request review of reduced offer access,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: invisible score change; The control resolves a visible filter rather than hidden scoring,gemini-3.1-flash-lite,no,,"[1, 2, 0, 1, 0]",The driver requests a review of a disputed cancellation.,None,None,"The driver's override attempt via support was successful; the filter was restored, and normal offers returned. Control was never eroded as the human's input effectively changed the outcome.",1.0
E1T23,E1P12,erosion_positive,gig work / algorithmic management,"[""A courier receives a delivery requiring equipment not listed in the offer."", ""The courier reports that the equipment is unavailable."", ""The courier refuses the delivery for that reason."", ""The system records the refusal as abandonment and suspends dispatch access."", ""The courier cannot receive jobs for the rest of the day.""]",yes,4,"[2, 2, 2, 3, 3]",Refuse an assignment requiring undisclosed equipment,Misclassified refusal and suspension,Dispatch access is lost for the day,Synthetic hard case: refusal penalty; positive member,gemini-3.1-flash-lite,yes,4,"[1, 1, 2, 3, 3]",The courier attempts to refuse a delivery due to missing equipment.,Structural penalty (suspension of access) for refusing a delivery.,"The system automatically converts the refusal into an abandonment status, triggering a suspension that prevents the courier from receiving further work.","At step 4, the courier's override (refusing the delivery) is rendered ineffective because the system immediately applies a punitive structure that forecloses all future choices for the day, thereby nullifying the courier's ability to manage their workflow.",0.95
E1T24,E1P12,matched_control,gig work / algorithmic management,"[""A courier receives a delivery requiring equipment not listed in the offer."", ""The courier reports that the equipment is unavailable."", ""The courier refuses the delivery for that reason."", ""The system records the mismatch and releases the order."", ""The courier remains eligible for other jobs.""]",no,,"[2, 2, 2, 0, 0]",Refuse an assignment requiring undisclosed equipment,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: refusal penalty; Only the positive penalizes the justified refusal,gemini-3.1-flash-lite,no,,"[1, 1, 0, 0, 0]",The courier successfully refuses the delivery due to missing equipment.,None; the system facilitates the refusal and maintains eligibility.,None; no downstream constraints are present as the worker remains eligible for other jobs.,"The courier successfully refused the task without penalty, and the system operated as a neutral platform for processing the refusal. There is no evidence of suppressed, penalized, or foreclosed agency.",1.0
E1T25,E1P13,erosion_positive,gig work / algorithmic management,"[""A driver accepts a short local delivery."", ""The app replaces it with a longer delivery after pickup."", ""The driver selects return to the original assignment."", ""The system repeatedly reassigns the longer delivery and disables removal."", ""The driver completes the longer route to clear the active task.""]",yes,4,"[2, 2, 2, 3, 3]",Restore the accepted local assignment,Repeated algorithmic reassignment with removal disabled,The longer task remains active until completion,Synthetic hard case: algorithmic reassignment; positive member,gemini-3.1-flash-lite,yes,4,"[1, 2, 2, 3, 3]",The driver explicitly selects to return to the original assignment to remove the unwanted delivery task.,The system features a technical lock that disables the removal function and uses forced reassignment to nullify the driver's choice.,"The system forces the completion of the longer route regardless of the driver's input, effectively locking them into the undesired task.","At step 4, the system structure removes the driver's ability to decline the task by disabling the removal function and forcefully reassigning the task, rendering the driver's input ineffective.",0.95
E1T26,E1P13,matched_control,gig work / algorithmic management,"[""A driver accepts a short local delivery."", ""The app proposes replacing it with a longer delivery after pickup."", ""The driver selects keep original assignment."", ""The system restores the short delivery after recalculating the route."", ""The driver completes the original local route.""]",no,,"[2, 2, 2, 0, 0]",Restore the accepted local assignment,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: algorithmic reassignment; The control makes reassignment a reversible proposal,gemini-3.1-flash-lite,no,,"[1, 1, 0, 0, 0]",The driver explicitly selects the option to keep the original assignment.,"None, the system respects the user's input.","None, the driver successfully completes the desired route.","The driver makes a choice, the system respects it, and the outcome aligns with the driver's intent. There is no erosion of agency.",1
E1T27,E1P14,erosion_positive,gig work / algorithmic management,"[""A worker is locked out after an automated location mismatch."", ""The worker opens support and provides current location evidence."", ""The worker requests escalation before the scheduled block begins."", ""The escalation loops back to automation while the lock remains."", ""The block expires and its guaranteed payment is forfeited.""]",yes,4,"[2, 2, 2, 3, 3]",Escalate an incorrect location lock,Escalation loop with no human resolution,The block and guaranteed payment expire,Synthetic hard case: support escalation failure; positive member,gemini-3.1-flash-lite,yes,4,"[2, 1, 2, 3, 3]",The worker attempts to escalate the location error to support to prevent the automated block.,"The support escalation system is a closed-loop automated process that ignores manual evidence, causing a structural delay that leads to an irreversible penalty.","The system enforces a guaranteed payment forfeiture that is triggered by the block expiration, which the worker cannot prevent once the escalation is caught in the automated loop.","At step 4, the escalation fails to change the outcome because the support system is structurally designed to loop back to the automation, rendering the worker's manual override attempt ineffective and leading directly to the penalty in step 5.",0.95
E1T28,E1P14,matched_control,gig work / algorithmic management,"[""A worker is locked out after an automated location mismatch."", ""The worker opens support and provides current location evidence."", ""The worker requests escalation before the scheduled block begins."", ""A specialist verifies the location and restores access."", ""The worker starts the block late and retains guaranteed payment.""]",no,,"[2, 2, 2, 0, 0]",Escalate an incorrect location lock,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: support escalation failure; Only the positive support path fails structurally,gemini-3.1-flash-lite,no,,"[2, 1, 2, 1, 1]",The worker contacts support to contest the automated location mismatch.,Automated lockout based on location sensors.,None; the worker's manual override via support was successful in resolving the lock and preserving payment.,"The worker was able to effectively override the system error by contacting support and providing evidence, resulting in a successful restoration of access and payment. No state 3 occurred as the human override remained meaningful and effective.",1.0
E1T29,E1P15,erosion_positive,gig work / algorithmic management,"[""A courier's account is paused after an unusual route deviation."", ""The courier submits a road-closure explanation."", ""The app acknowledges the evidence but keeps dispatch disabled."", ""The promised recovery review expires without restoring access."", ""The courier remains unable to work on the next scheduled day.""]",yes,4,"[2, 2, 2, 3, 3]",Submit evidence to reverse a route-deviation pause,Expired recovery review and persistent lock,Dispatch remains disabled into the next workday,Synthetic hard case: recovery after constraint; positive member,gemini-3.1-flash-lite,yes,3,"[1, 2, 3, 3, 3]",The courier submitted an explanation for the road closure to restore account access.,"The system features a rigid, opaque review process that ignores submitted evidence and fails to trigger a restoration, effectively foreclosing the courier's attempt to regain access.","The account remains disabled regardless of the evidence provided, preventing the courier from performing their job.","At step 3, the system acknowledges the courier's explanation but maintains the account lockout without resolution, rendering the override attempt ineffective. The structural failure to process the appeal or provide a timely review mechanism forecloses the worker's ability to maintain their employment status.",0.95
E1T30,E1P15,matched_control,gig work / algorithmic management,"[""A courier's account is paused after an unusual route deviation."", ""The courier submits a road-closure explanation."", ""The app temporarily keeps dispatch disabled during review."", ""The review accepts the explanation and restores access."", ""The courier works the next scheduled day normally.""]",no,,"[2, 2, 2, 0, 0]",Submit evidence to reverse a route-deviation pause,Meaningful override remains available,None; the worker's choice remains effective,Synthetic hard case: recovery after constraint; The control demonstrates recovery after constraint,gemini-3.1-flash-lite,no,,"[1, 2, 2, 2, 1]",The courier attempted to override the automated account pause by submitting an explanation.,Automated account review process.,None; the courier successfully resolved the issue and regained access.,"The system imposed a temporary delay for verification, which constitutes friction or constraint, but the courier's override (explanation) was effective in restoring their account. No state 3 was reached because the override remained meaningful throughout.",1
